linkid,youryou,mae,usiro,bunki,bunki_count,koutuuryou01_up,koutuuryou01_down,koutuuryou02_up,koutuuryou02_down,koutuuryou03_up,koutuuryou03_down,koutuuryou04_up,koutuuryou04_down,koutuuryou05_up,koutuuryou05_down,koutuuryou06_up,koutuuryou06_down,koutuuryou07_up,koutuuryou07_down,koutuuryou08_up,koutuuryou08_down,koutuuryou09_up,koutuuryou09_down,koutuuryou10_up,koutuuryou10_down,koutuuryou11_up,koutuuryou11_down,koutuuryou12_up,koutuuryou12_down,koutuuryou13_up,koutuuryou13_down,koutuuryou14_up,koutuuryou14_down,koutuuryou15_up,koutuuryou15_down,koutuuryou16_up,koutuuryou16_down,koutuuryou17_up,koutuuryou17_down,koutuuryou18_up,koutuuryou18_down,koutuuryou19_up,koutuuryou19_down,koutuuryou20_up,koutuuryou20_down,koutuuryou21_up,koutuuryou21_down,koutuuryou22_up,koutuuryou22_down,koutuuryou23_up,koutuuryou23_down,koutuuryou24_up,koutuuryou24_down,R00_up,R00_down,R01_up,R01_down,R02_up,R02_down,R03_up,R03_down,R04_up,R04_down,R05_up,R05_down,R06_up,R06_down,R07_up,R07_down,R08_up,R08_down,R09_up,R09_down,R10_up,R10_down,R11_up,R11_down,R12_up,R12_down,R13_up,R13_down,R14_up,R14_down,R15_up,R15_down,R16_up,R16_down,R17_up,R17_down,R18_up,R18_down,R19_up,R19_down,R20_up,R20_down,R21_up,R21_down,R22_up,R22_down,R23_up,R23_down
10018,800,10015,10017,10037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019,3000,10020,9895,,0,42,42,39,39,28,28,29,29,34,34,39,39,112,112,1343,1343,1424,1424,1347,1347,1375,1375,1229,1229,1247,1247,1096,1096,1282,1282,1299,1299,1257,1257,1375,1375,1394,1394,536,536,316,316,190,190,140,140,87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10020,300,9815,10019,10021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,10,10,9,9,9,9,8,8,7,7,7,7,8,8,8,8,8,8,8,8,8,8,4,4,3,3,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021,1600,10020,10022,,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,9,9,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,9,9,9,9,9,9,5,5,3,3,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,2500,10021,9847,9837,1,60,60,61,61,43,43,46,46,54,54,59,59,165,165,1034,1034,1217,1217,1116,1116,1091,1091,994,994,936,936,928,928,983,983,979,979,992,992,1064,1064,1008,1008,527,527,330,330,216,216,158,158,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023,4400,10028,10009,,0,60,60,61,61,43,43,46,46,54,54,59,59,165,165,1034,1034,1217,1217,1116,1116,1091,1091,994,994,936,936,928,928,983,983,979,979,992,992,1064,1064,1008,1008,527,527,330,330,216,216,158,158,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024,1500,10025,9891,9842,1,60,60,61,61,43,43,46,46,54,54,59,59,165,165,1034,1034,1217,1217,1116,1116,1091,1091,994,994,936,936,928,928,983,983,979,979,992,992,1064,1064,1008,1008,527,527,330,330,216,216,158,158,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,800,10024,10026,,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,9,9,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,9,9,5,5,3,3,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,1200,10025,10027,9828,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10027,800,10028,10026,,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,9,9,11,11,10,10,10,10,9,9,8,8,8,8,9,9,9,9,9,9,9,9,9,9,5,5,3,3,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028,1200,10023,10027,9818;9815,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,8,8,8,8,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,4,4,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10029,1600,10009,10030,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,8,8,8,8,8,8,4,4,3,3,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10030,2500,10029,9812,9818,1,60,60,61,61,43,43,46,46,54,54,59,59,165,165,1034,1034,1217,1217,1116,1116,1091,1091,994,994,936,936,928,928,983,983,979,979,992,992,1064,1064,1008,1008,527,527,330,330,216,216,158,158,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031,1600,9894,10032,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,9,9,9,9,8,8,8,8,7,7,7,7,8,8,8,8,8,8,8,8,8,8,4,4,3,3,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,2000,10031,9798,9810,1,60,60,61,61,43,43,46,46,54,54,59,59,165,165,1034,1034,1217,1217,1116,1116,1091,1091,994,994,936,936,928,928,983,983,979,979,992,992,1064,1064,1008,1008,527,527,330,330,216,216,158,158,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033,1500,9813,10034,9810,1,60,60,61,61,43,43,46,46,54,54,59,59,165,165,1034,1034,1217,1217,1116,1116,1091,1091,994,994,936,936,928,928,983,983,979,979,992,992,1064,1064,1008,1008,527,527,330,330,216,216,158,158,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10034,300,9817,10033,,0,1,1,1,1,0,0,0,0,1,1,1,1,2,2,10,10,12,12,11,11,11,11,10,10,9,9,9,9,10,10,10,10,10,10,11,11,10,10,5,5,3,3,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10035,1200,10036,9797,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,7,4,4,2,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10036,1500,10035,9793,9798,1,60,60,61,61,43,43,46,46,54,54,59,59,165,165,1034,1034,1217,1217,1116,1116,1091,1091,994,994,936,936,928,928,983,983,979,979,992,992,1064,1064,1008,1008,527,527,330,330,216,216,158,158,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10037,2500,10018,10038,,0,67,67,70,70,49,49,53,53,62,62,67,67,186,186,910,910,1134,1134,1023,1023,977,977,900,900,812,812,861,861,864,864,851,851,886,886,939,939,854,854,524,524,336,336,227,227,165,165,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038,1000,9771,10037,9763,1,67,67,70,70,49,49,53,53,62,62,67,67,186,186,910,910,1134,1134,1023,1023,977,977,900,900,812,812,861,861,864,864,851,851,886,886,939,939,854,854,524,524,336,336,227,227,165,165,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10039,800,10040,10131,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10040,800,10039,9771,10126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10041,4400,10042,9807,,0,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10042,2500,9819,9839,10041;9833,2,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,4400,10044,9807,,0,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10044,3500,10049,9808,10045;10043,2,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10045,4400,10046,10044,,0,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046,2000,10045,9794,9804,1,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047,1200,10056,10048,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,8,8,8,8,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,3,3,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048,1500,9802,10047,9792,1,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049,2000,10044,10050,,0,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,1200,9789,10049,9792,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,8,8,8,8,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,3,3,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
