順位,kye_code,交通量,人口,労働者数,床面積,合計道路面積,国道面積,県道面積,市道面積,その他面積,年齢構成（0-15）,年齢構成（15-65）,年齢構成（65以上）,必要度スコア
55,513243484,0,2262,1730,299821,34279,1704,4247,26496,1833,11.1%,53.4%,34.7%,31.0
56,513243354,0,2259,1965,174073,41597,13900,19395,8286,17,14.3%,62.1%,20.9%,22.6
57,513243691,0,2183,1925,0,0,0,0,0,0,10.1%,63.4%,22.8%,10.5
58,513243571,0,2182,1747,157739,32171,9763,9265,10635,2508,12.2%,60.5%,23.9%,21.1
59,513243574,0,2139,1660,128187,27484,12237,13583,1603,61,25.8%,60.3%,12.6%,18.9
60,513243771,0,2133,1479,61315,74659,25482,41411,7746,20,7.1%,58.6%,19.8%,14.4
61,513243693,0,2111,2031,0,0,0,0,0,0,10.7%,64.9%,21.7%,10.2
62,513243463,0,2095,1919,171620,39117,21231,11953,4770,1162,11.6%,65.1%,21.7%,21.6
63,513243462,0,2091,1858,171283,19744,6385,5635,7400,323,20.2%,64.5%,12.1%,21.6
64,513243374,0,2041,1702,188255,35116,5909,6874,19360,2973,11.9%,58.4%,28.4%,22.5
65,513243343,0,2034,1532,209802,19710,1374,3767,14085,484,14.4%,54.9%,30.2%,23.9
66,513243774,0,1979,1468,123336,47344,28145,14136,4800,263,13.0%,59.9%,21.4%,17.8
67,513243782,0,1893,1679,62595,0,0,0,0,0,16.6%,66.0%,15.7%,13.3
68,513243444,0,1853,1502,168146,33731,14891,6180,10883,1777,13.0%,54.9%,30.5%,20.2
69,513243663,0,1853,1390,147689,53509,26649,21398,5462,0,11.6%,59.6%,19.7%,18.8
70,513243791,0,1559,1299,0,0,0,0,0,0,8.5%,62.9%,26.3%,7.5
71,513243451,0,1522,1212,143137,30939,3885,13407,12176,1470,11.5%,58.0%,28.3%,16.9
72,513243874,0,1493,1191,142439,21678,6069,6235,8430,944,15.9%,60.6%,22.8%,16.7
73,513243464,0,1429,1216,152562,34517,12075,8150,12180,2113,12.1%,60.8%,25.4%,17.1
74,513243461,0,1346,983,127751,21198,1889,6940,12269,100,13.7%,51.4%,33.7%,15.1
75,513243383,0,1296,1091,143579,38561,18243,10021,7125,3173,13.0%,59.6%,26.1%,15.9
76,513243692,0,1289,1185,0,0,0,0,0,0,15.8%,62.2%,19.9%,6.2
77,513243694,0,968,841,0,0,0,0,0,0,11.5%,65.8%,21.6%,4.7
78,513243884,0,916,528,97017,13831,4299,2767,6553,212,9.9%,50.1%,38.0%,10.9
79,513243672,0,896,768,103666,44994,41132,2812,938,112,6.3%,64.7%,21.4%,11.3
80,513243363,0,812,651,64020,12848,5555,2610,4683,0,13.3%,56.8%,28.6%,8.2
81,513243342,0,783,633,85746,979,0,489,490,0,10.9%,54.9%,34.1%,9.5
82,513243883,0,782,604,93624,6654,2843,1392,2044,375,10.1%,54.7%,34.8%,10.0
83,513243761,0,776,640,68543,27087,7272,13260,6540,15,6.2%,63.1%,20.9%,8.3
84,513243762,0,595,359,6725,73631,32411,26202,14983,35,5.0%,50.6%,33.8%,3.3
85,513243353,0,580,468,74158,16026,5886,6849,3271,20,8.3%,58.1%,31.9%,7.8
86,513243361,0,440,223,10031,29268,15188,9064,5017,0,5.0%,48.6%,43.4%,2.8
87,513243351,0,202,188,17713,19539,9450,8564,1525,0,4.0%,50.5%,45.0%,2.2
88,513243352,0,135,119,4809,10494,6596,3897,0,0,8.1%,72.6%,17.0%,1.0
89,513243764,0,34,9,0,39689,30532,8923,234,0,29.4%,35.3%,29.4%,0.2
90,513243341,0,1,0,0,10045,8169,1640,235,0,0.0%,0.0%,0.0%,0.0
91,513243234,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0
92,513243243,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0
93,513243244,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0
94,513243332,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0
